Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
29/10/2025,22:00:00,60.39,60.47,60.36,60.38,113,76,22,91
29/10/2025,22:01:00,60.37,60.37,60.28,60.29,97,85,59,38
29/10/2025,22:02:00,60.28,60.32,60.25,60.32,86,48,46,40
29/10/2025,22:03:00,60.31,60.31,60.31,60.31,1,1,1,0
29/10/2025,22:04:00,60.28,60.28,60.26,60.27,16,14,7,9
29/10/2025,22:05:00,60.28,60.3,60.27,60.29,13,13,6,7
29/10/2025,22:06:00,60.29,60.33,60.29,60.3,26,22,3,18
29/10/2025,22:07:00,60.29,60.29,60.29,60.29,1,1,1,0
29/10/2025,22:08:00,60.29,60.29,60.29,60.29,1,1,1,0
29/10/2025,22:09:00,60.29,60.32,60.29,60.32,16,14,3,13
29/10/2025,22:10:00,60.31,60.31,60.28,60.28,56,28,26,26
29/10/2025,22:11:00,60.28,60.28,60.28,60.28,9,5,9,0
29/10/2025,22:12:00,60.28,60.28,60.27,60.27,12,12,9,3
29/10/2025,22:13:00,60.27,60.3,60.27,60.3,11,11,11,0
29/10/2025,22:15:00,60.3,60.3,60.27,60.29,12,12,9,3
29/10/2025,22:16:00,60.27,60.29,60.27,60.29,7,7,3,4
29/10/2025,22:17:00,60.28,60.3,60.28,60.29,6,6,5,1
29/10/2025,22:18:00,60.3,60.3,60.3,60.3,1,1,0,1
29/10/2025,22:20:00,60.29,60.29,60.29,60.29,19,4,0,5
29/10/2025,22:21:00,60.29,60.29,60.28,60.28,19,14,13,6
29/10/2025,22:22:00,60.28,60.28,60.28,60.28,1,1,1,0
29/10/2025,22:23:00,60.28,60.28,60.28,60.28,1,1,1,0
29/10/2025,22:25:00,60.29,60.3,60.28,60.28,3,3,1,1
29/10/2025,22:26:00,60.29,60.29,60.28,60.28,10,9,10,0
29/10/2025,22:27:00,60.27,60.27,60.27,60.27,2,2,2,0
29/10/2025,22:28:00,60.27,60.28,60.27,60.27,6,6,6,0
29/10/2025,22:29:00,60.27,60.28,60.27,60.28,29,11,2,27
29/10/2025,22:30:00,60.28,60.29,60.27,60.28,7,7,5,2
29/10/2025,22:31:00,60.27,60.28,60.27,60.27,6,6,6,0
29/10/2025,22:32:00,60.26,60.28,60.25,60.25,31,20,29,2
29/10/2025,22:33:00,60.24,60.26,60.24,60.25,7,7,6,1
29/10/2025,22:34:00,60.26,60.26,60.26,60.26,1,1,0,1
29/10/2025,22:35:00,60.25,60.27,60.25,60.26,11,10,11,0
29/10/2025,22:37:00,60.27,60.27,60.27,60.27,1,1,0,1
29/10/2025,22:39:00,60.27,60.27,60.26,60.26,7,7,4,3
29/10/2025,22:40:00,60.26,60.26,60.26,60.26,1,1,0,1
29/10/2025,22:41:00,60.25,60.27,60.24,60.24,64,45,39,25
29/10/2025,22:42:00,60.24,60.24,60.23,60.23,19,14,8,11
29/10/2025,22:43:00,60.24,60.24,60.24,60.24,2,2,2,0
29/10/2025,22:45:00,60.25,60.25,60.24,60.24,16,13,7,9
29/10/2025,22:46:00,60.24,60.24,60.23,60.23,18,10,18,0
29/10/2025,22:47:00,60.22,60.23,60.22,60.22,12,10,7,5
29/10/2025,22:48:00,60.22,60.22,60.22,60.22,4,4,3,1
29/10/2025,22:49:00,60.22,60.22,60.19,60.19,27,21,26,1
29/10/2025,22:50:00,60.19,60.2,60.17,60.18,34,27,30,4
29/10/2025,22:51:00,60.18,60.24,60.18,60.21,48,36,10,34
29/10/2025,22:52:00,60.21,60.22,60.2,60.2,9,9,8,1
29/10/2025,22:53:00,60.19,60.2,60.19,60.2,4,4,1,3
29/10/2025,22:54:00,60.2,60.21,60.2,60.21,4,4,1,3
29/10/2025,22:55:00,60.21,60.21,60.19,60.19,16,11,16,0
29/10/2025,22:56:00,60.19,60.21,60.19,60.2,49,32,17,32
29/10/2025,22:57:00,60.19,60.2,60.19,60.2,3,3,3,0
29/10/2025,22:58:00,60.19,60.2,60.18,60.18,12,12,9,3
